LON,LAT,ESTADO,CVE_SIH,NOMBRE_ESTACION,SEP
-99.14,19.2,DF,TPJDF,TOPILEJO,189.3
-99.08,19.44,DF,TPNDF,TANQUE PEÒON,127.6
-99.21,19.36,DF,TRGDF,TARANGO,222.7
-99.25,19.32,DF,TSFDF,T. SAN FRANCISCO,257.2
-99.23,19.44,DF,TSJDF,T. SAN JOAQUIN,327.9
-99.26,19.36,DF,TSLDF,TRIF. SANTA LUCIA (SANTA FE),314.1
-98.97,19.21,DF,TTLDF,TETELCO,111.4
-99.21,19.51,DF,VDCDF,VASO DE CRISTO (SACM),322.7
-104.07,25.26,DGO,AM2DR,"AGUSTIN MELGAR, (AUTOMATICA)",0.8
-104.48,26.24,DGO,APRDR,AGUA PUERCA,132
-104.7,24,DGO,CAGDR,CAMPO AGRICOLA,131.5
-104.8,24.52,DGO,CB2DR,CABORACA (HIDRO),260.6
-104.8,24.52,DGO,CBRDR,P. CABORACA,257.9
-104.07,26.3,DGO,CEBDR,CEVALLOS,123.3
-104.12,24.44,DGO,CGVDR,CIUDAD GUADALUPE VICTORIA,100.2
-103.52,25.53,DGO,CLRDR,CIUDAD LERDO,49
-103.7,24.87,DGO,CNCDR,CUENCAME,115.2
-104.75,24.5,DGO,CNTDR,CANATLAN,188.3
-104.67,24.03,DGO,DRGDR,DURANGO,145.4
-103.96,24,DGO,FV2DR,FRANCISCO VILLA (HIDRO),131.8
-103.96,24,DGO,FVLDR,PRESA FRANCISCO VILLA,125.1
-103.78,25.27,DGO,FZRDR,PRESA FRANCISCO ZARCO,102
-105.25,25.5,DGO,GESDR,GENERAL ESCOBEDO,103
-105.96,25.93,DGO,GNCDR,GUANACEVI,163.5
-104.75,23.96,DGO,GVCDR,PRESA GUADALUPE VICTORIA,162
-104.75,23.96,DGO,GVHDR,GUADALUPE VICTORIA,154.9
-105,25.61,DGO,LCRDR,PRESA LAZARO CARDENAS,89.3
-103.28,25.06,DGO,LFLDR,LA FLOR,51
-105.47,24.19,DGO,LVEDR,"LAS VEGAS, (AUTOMATICA)",138.3
-103.85,25.82,DGO,MPMDR,MAPIMI,220
-104.11,25.23,DGO,NZSDR,NAZAS,143
-104.66,24.24,DGO,PA2DR,PE—A DEL AGUILA (HIDRO),220.9
-104.66,24.24,DGO,PAGDR,PRESA PEÒA DEL AGUILA,218.8
-106.37,26.13,DGO,ROSDR,LA ROSILLA,146.5
-104.9,25.75,DGO,RPADR,RADAR PALMITO,94.9
-105.44,25.23,DGO,SACDR,SALOME ACOSTA,105.4
-104.67,23.87,DGO,SB2DR,SANTIAGO BAYACORA (HIDRO),184.6
-104.9,23.8,DGO,SBBDR,SANTA BARBARA,234
-104.67,23.87,DGO,SBYDR,P. SANTIAGO BAYACORA,195
-104.05,23.62,DGO,SELDR,PRESA SANTA ELENA,142.6
-105.55,26.42,DGO,SGBDR,SAN GABRIEL,57.6
-106.13,24.44,DGO,SJRDR,SAN JOSE DE REYES,158.5
-105.37,25.95,DGO,SMODR,SANTA MARIA DEL ORO,140.8
-105.42,25.04,DGO,SPPDR,SANTIAGO PAPASQUIARO,115.9
-105.57,26.08,DGO,SRDDR,SARDINAS,119.5
-103.44,26.11,DGO,THODR,TLAHUALILO,21.3
-105.73,25.34,DGO,TLHDR,TEPEHUANES,118.2
-106.98,24.93,DGO,TMZDR,TAMAZULA,361.1
-104.5,26.1,DGO,VHGDR,P. VILLA HIDALGO,128.7
-105.5,26.44,DGO,VOCDR,VILLA OCAMPO,93.5
-99.91,16.85,GRO,ACAGR,ACAPULCO,941.8
-99.75,16.76,GRO,ACUGR,"ACAPULCO, (AUTOMATICA)",835.7
-99.5,17.5,GRO,AERGR,AEROPUERTO,367.7
-98.98,17.72,GRO,AHUGR,AHUACUOTZINGO,127.1
-99.1,16.95,GRO,AYUGR,AYUTLA,1151.7
-99.2,18.2,GRO,BVSGR,BUENA VISTA,353.5
-100.66,18.35,GRO,CA2GR,"CD. ALTAMIRANO, (AUTOMATICA)",0
-100.66,18.36,GRO,CALGR,CIUDAD ALTAMIRANO,241.2
-100.63,18.33,GRO,CDBGR,COYUCA DE BENITEZ,892.4
-99.5,17.55,GRO,CHIGR,CHILPANCINGO,480.5
-99.18,17.61,GRO,CHLGR,CHILAPA,208.5
-98.41,16.47,GRO,CNLGR,CUAJINICUILAPA,548
-99.66,18.25,GRO,COCGR,COCULA,374.3
-98.97,16.61,GRO,COPGR,COPALA,1295
-101.05,17.38,GRO,CYQGR,COYUQUILLA,86.5
-99.72,17.32,GRO,ECAGR,EL CARACOL,76.3
-100.68,18.52,GRO,EGLGR,P. EL GALLO,270
-99.55,18.35,GRO,IGLGR,IGUALA,231.7
-101,18.45,GRO,LCLGR,LA CALERA,142
-100.02,16.96,GRO,LDCGR,LAGUNA DE COYUCA,189.7
-99.24,16.76,GRO,LDGGR,LAS VIGAS,724.8
-99.48,18.35,GRO,LDTGR,LAGUNA DE TUXPAN,127.3
-99.37,17.47,GRO,MCHGR,MOCHITLAN,84
-99.8,16.8,GRO,ODAGR,OBSERVATORIO DE ACAPULCO,566
-99.5,17.6,GRO,ODZGR,OBSERVATORIO DE ZUMPANGO,227.5
-98.74,17.78,GRO,OLNGR,OLINALA,272.5
-98.43,16.68,GRO,OMEGR,OMETEPEC,989.5
-99.2,16.8,GRO,RMEGR,REVOLUCION MEXICANA,680.5
-100.47,17.14,GRO,SJEGR,SAN JERONIMO,476.5
-99.48,16.8,GRO,SNMGR,SAN MARCOS                          *,645
-99.61,18.55,GRO,TAXGR,TAXCO,0
-99.53,17.17,GRO,TCOGR,TIERRA COLORADA,1090
-100.63,17.26,GRO,TECGR,TECPAN DE GALEANA,205.4
-99.98,17.79,GRO,TLAGR,TLACOTEPEC,356.4
-98.6,17.5,GRO,TLPGR,TLAPA,183.5
-99.4,17.57,GRO,TXTGR,TIXTLA,83.3
-100.27,18.39,GRO,VGRGR,P. VICENTE GUERRERO,238.7
-99.5,18.42,GRO,VTRGR,PRESA VALERIO TRUJANO,316.6
-98.49,17.9,GRO,XXHGR,XOCHIHUEHUETLAN,243.8
-101.55,17.65,GRO,ZHTGR,ZIHUATANEJO,736.2
-101.52,20.43,GTO,ABSGJ,ABASOLO,194.5
-100.72,20.03,GTO,ACNGJ,ACAMBARO,198
-100.68,20.53,GTO,AEGGJ,APASEO EL GRANDE,182
-100.58,20.55,GTO,AMCGJ,AMECHE,115.8
-101.37,20.71,GTO,ANSGJ,ARANDAS,231.4
-100.62,20.45,GTO,APSGJ,APASEO EL ALTO,148.3
-101.63,20.5,GTO,ATBGJ,AGUA TIBIA,229
-100.83,20.85,GTO,BEGGJ,LA BEGO—A (HIDROM. IGNACIO ALLENDE),169
-101.83,21.05,GTO,BRRGJ,PRESA EL BARRIAL,191.6
-100.9,20.28,GTO,CBOGJ,"EL CUBO, (AUTOMATICA)",249.4
-100.82,20.53,GTO,CLYGJ,CELAYA,187.1
-101.47,21.07,GTO,COMGJ,COMANJILLA,193
-100.36,20.2,GTO,CORGJ,CORONEO,167
-101.67,20.62,GTO,CRMGJ,CUERAMARO,152.2
-100.95,20.48,GTO,CRTGJ,CORTAZAR,183.8
-100.9,20.95,GTO,CSRGJ,CINCO SEÒORES,256.7
-101.67,21.19,GTO,CSSGJ,LOS CASTILLOS(CANALES),232.6
-101.67,21.2,GTO,CSTGJ,LOS CASTILLOS,218.1
-100.93,21.15,GTO,DHGGJ,DOLORES HIDALGO,108.5
-100.5,20.2,GTO,ECBGJ,EL CUBO,225.1
-101.2,20.9,GTO,ECHGJ,EL CHAPIN,148.5
-101.37,20.73,GTO,ECNGJ,PRESA EL CONEJO,229.8
-101.67,21.17,GTO,EPLGJ,EL PALOTE,244.2
-101.75,20.43,GTO,GLNGJ,PRESA LA GOLONDRINA,182
-101.27,21.01,GTO,GTOGJ,GUANAJUATO,152.3
-100.82,20.83,GTO,IALGJ,IGNACIO ALLENDE,163
-101.35,20.68,GTO,IRPGJ,IRAPUATO,138.5
-100.52,20.13,GTO,JCRGJ,JERECUARO,182.4
-101,20.4,GTO,JDPGJ,JARAL DEL PROGRESO,123.6
-101.83,20.67,GTO,LADGJ,LAS ADJUNTAS,147.9
-101.13,20.22,GTO,LDYGJ,SANTA MARIA YURIRIA,178
-101.67,21.1,GTO,LENGJ,LEON,192.7
-100.87,20.38,GTO,LGVGJ,P. LA GAVIA,209
-101.36,20.28,GTO,LJIGJ,LAS JICAMAS,159
-101,20.3,GTO,LMTGJ,LOMO DE TORO,191.2
-101.11,21.32,GTO,LQMGJ,LA QUEMADA,109.8
-101.95,20.5,GTO,MABGJ,MARIANO ABASOLO,180.3
-100.58,20.56,GTO,MCHGJ,"AMECHE, (AUTOMATICA)",25.2
-101.19,20.13,GTO,MORGJ,MOROLEON,243.3
-101.52,21.63,GTO,OCMGJ,OCAMPO,243
-100.83,20.85,GTO,PALGJ,"PRESA ALLENDE, GTO.  SMN",2.3
-101.06,20.52,GTO,PCSGJ,"PERICOS, (AUTOMATICA)",199.6
-100.9,21.1,GTO,PDLGJ,PUENTE DOLORES                      *,135.5
-101.13,20.52,GTO,PERGJ,PERICOS,207.5
-100.88,21.1,GTO,PNLGJ,PEÒUELITAS,138.4
-100.5,21.22,GTO,POZGJ,POZOS,74.9
-101.28,20.85,GTO,PRSGJ,PRESA LA PURISIMA,154.4
-101.22,21.48,GTO,SFEGJ,SAN FELIPE,134.7
-101.02,20.4,GTO,SJLGJ,SANTA JULIA,188.1
-100.39,21,GTO,SJPGJ,SAN J. PAN DE ARRIBA,149.4
-101.2,20.57,GTO,SLMGJ,SALAMANCA,149.2
-100.75,20.58,GTO,SMOGJ,SAN MIGUEL OCTOPAN,151.9
-100.52,21.3,GTO,SLPGJ,SAN LUIS DE LA PAZ,89.6
-100.82,20.05,GTO,SLSGJ,P. SOLIS,249.5
-100.88,20.22,GTO,SLVGJ,SALVATIERRA,240.1
-101.07,20.3,GTO,SRTGJ,SANTA RITA,243.6
-100.75,20.28,GTO,TARGJ,TARIMORO,164.5
-101.3,20.6,GTO,TEMGJ,TEMASCATIO,173
-100.8,20.5,GTO,TGRGJ,TRES GUERRAS,180.5
-101.37,20.74,GTO,TPCGJ,TEPALCATES,180.8
-101.18,20.39,GTO,VDSGJ,V. DE SANTIAGO,148
-100.09,21.3,GTO,XICGJ,XICHU,254
-101.02,20.27,GTO,YRDGJ,"YURIRIA CANAL ALIMENTADOR, AUTOM.",15.6
-98.94,20.27,HGO,ACTHD,ACTOPAN,109.5
-98.33,21.02,HGO,ATCHD,ATLAPESCO,523.5
-99.36,20.16,HGO,ENDHD,PRESA ENDO,107.5
-99.63,20.36,HGO,HCPHD,HUICHAPAN,105
-98.42,21.15,HGO,HJTHD,HUEJUTLA,612.4
-99.22,20.48,HGO,IXMHD,IXMIQUILPAN,115.4
-99.18,21.08,HGO,LMTHD,MEZTITLAN,232.1
-99.22,20.24,HGO,MXQHD,MIXQUIAHUALA,123.8
