LON,LAT,ESTADO,CVE_SIH,NOMBRE_ESTACION,DIC
-99.21,19.3,DF,DATDF,DESVIACION ALTA                     *,0
-99.13,19.43,DF,DDFDF,GOBIERNO DEL D. F.,0.2
-99.31,19.31,DF,DTLDF,DESIERTO DE LOS LEONES,3.2
-99.15,19.38,DF,DVLDF,DEL VALLE,0.5
-99.16,19.3,DF,EAZDF,ESTADIO AZTECA,2.3
-99.29,19.36,DF,EYQDF,EL YAQUI,0
-99.35,19.3,DF,EZCDF,EL ZARCO,0
-99.07,19.49,DF,GCNDF,KM. 6+250 (GRAN CANAL),0
-99.26,19.31,DF,HYTDF,HUAYATLA,0.2
-99.3,19.34,DF,LVNDF,LA VENTA,0.5
-99.28,19.22,DF,MAGDF,MONTE ALEGRE,15.5
-99.13,19.4,DF,MCRDF,M. CARRILLO,2
-99.03,19.19,DF,MLPDF,MILPA ALTA,0
-99.23,19.19,DF,MZTDF,P ABASOLO(MEZONTEPEC),7.1
-99.1,19.32,DF,OCSDF,OFICINA CAVM SUR,1.8
-99.1,19.38,DF,PBADF,P. B. ACULCO,8.6
-99.06,19.43,DF,PBCDF,P. B. CHURUBUSCO L(CH.LAGO),0.2
-99.12,19.49,DF,PBLDF,P. B. LINDAVISTA,5.6
-99.04,19.38,DF,PBODF,P. B. U. E. DE ORIENTE,1.5
-99.17,19.44,DF,PBTDF,P. B. TIZOC,8.3
-99.2,19.41,DF,PCHDF,PTA. CHAPULTEPEC,0.9
-99.1,19.46,DF,PGNDF,PLANTA GENERADORA 101,1.3
-99.08,19.34,DF,PLEDF,P. T. LA ESTRELLA,1.5
-99.07,19.42,DF,PLMDF,P. B. LOPEZ MATEOS,0.2
-99.13,19.37,DF,PMLDF,P. B. MUNICIPIO LIBRE,1.2
-99.09,19.25,DF,PNTDF,PLANTA NATIVITAS,4
-99.26,19.29,DF,PRMDF,P. T. RIO MAGDALENA,6.8
-99.15,19.51,DF,PRRDF,P. T. RIO REMEDIOS,1
-99.02,19.3,DF,PSCDF,P. T. SANTA CATARINA,1.5
-99.05,19.23,DF,PSLDF,PLANTA SAN LUIS,0
-99.16,19.47,DF,PSNDF,P. B. NUEVA SANTA MARIA,10.6
-99.17,19.26,DF,PSPDF,"P. SAN PEDRO MARTIR, DF",0
-99.19,19.51,DF,PTRDF,P. T. ROSARIO,10.7
-99.13,19.29,DF,PVCDF,P. B. VILLA COAPA,1.3
-99.14,19.33,DF,PXTDF,PLANTA XOTEPINGO,1.7
-99.19,19.3,DF,RBTDF,REBOMBEO BOSQUE TLALPAN(B TLALPAN),5.7
-99.17,19.4,DF,RCMDF,RADIO COMUNICACION,1
-99,19.17,DF,SANDF,SANTA ANA,0.5
-99.28,19.33,DF,SBADF,SAN BARTOLO AMEYALCO,1.5
-99.03,19.34,DF,SCMDF,SANTA CRUZ MEYEHUALCO,0.8
-99.12,19.58,DF,SGDDF,SIERRA GUADALUPE,0
-99.07,19.47,DF,SJADF,SAN JUAN DE ARAGON,2
-99.01,19.28,DF,SPPDF,SAN PEDRO TLAHUAC,1.8
-98.96,19.32,DF,SSCDF,S. ELEC. SANTA CATARINA(LA CALERA),1.7
-99.14,19.56,DF,TCMDF,TANQUE CHALMITA,5.1
-99.27,19.37,DF,TECDF,TANQUE EL CARTERO,0
-99.25,19.33,DF,TELDF,TANQUE EL LIENZO,1.8
-99.1,19.39,DF,TEZDF,"TEZONTLE, (AUTOMATICA)",0.8
-99.21,19.4,DF,TNGDF,TRIANGULO,1.5
-99.14,19.2,DF,TPJDF,TOPILEJO,0
-99.08,19.44,DF,TPNDF,TANQUE PEÒON,0.8
-99.21,19.36,DF,TRGDF,TARANGO,2.3
-99.25,19.32,DF,TSFDF,T. SAN FRANCISCO,0.2
-99.23,19.44,DF,TSJDF,T. SAN JOAQUIN,12.9
-99.26,19.36,DF,TSLDF,TRIF. SANTA LUCIA (SANTA FE),2
-98.97,19.21,DF,TTLDF,TETELCO,3.8
-99.21,19.51,DF,VDCDF,VASO DE CRISTO (SACM),0
-104.07,25.26,DGO,AM2DR,"AGUSTIN MELGAR, (AUTOMATICA)",3.8
-104.48,26.24,DGO,APRDR,AGUA PUERCA,2
-104.7,24,DGO,CAGDR,CAMPO AGRICOLA,10.8
-104.8,24.52,DGO,CB2DR,CABORACA (HIDRO),8
-104.8,24.52,DGO,CBRDR,P. CABORACA,8.1
-104.07,26.3,DGO,CEBDR,CEVALLOS,9.5
-104.12,24.44,DGO,CGVDR,CIUDAD GUADALUPE VICTORIA,23
-103.52,25.53,DGO,CLRDR,CIUDAD LERDO,12.4
-103.7,24.87,DGO,CNCDR,CUENCAME,13.1
-104.75,24.5,DGO,CNTDR,CANATLAN,10
-104.67,24.03,DGO,DRGDR,DURANGO,16.5
-103.96,24,DGO,FV2DR,FRANCISCO VILLA (HIDRO),29.5
-103.96,24,DGO,FVLDR,PRESA FRANCISCO VILLA,29.5
-103.78,25.27,DGO,FZRDR,PRESA FRANCISCO ZARCO,7.1
-105.25,25.5,DGO,GESDR,GENERAL ESCOBEDO,11
-105.96,25.93,DGO,GNCDR,GUANACEVI,17
-104.75,23.96,DGO,GVCDR,PRESA GUADALUPE VICTORIA,25
-104.75,23.96,DGO,GVHDR,GUADALUPE VICTORIA,25
-103.31,24.63,DGO,LNRDR,PRESA LOS NARANJOS,10
-105.47,24.19,DGO,LVEDR,"LAS VEGAS, (AUTOMATICA)",34.6
-103.85,25.82,DGO,MPMDR,MAPIMI,17
-104.11,25.23,DGO,NZSDR,NAZAS,0
-104.66,24.24,DGO,PA2DR,PE—A DEL AGUILA (HIDRO),11.2
-104.66,24.24,DGO,PAGDR,PRESA PEÒA DEL AGUILA,14.2
-106.37,26.13,DGO,ROSDR,LA ROSILLA,49
-105.44,25.23,DGO,SACDR,SALOME ACOSTA,1.5
-104.67,23.87,DGO,SB2DR,SANTIAGO BAYACORA (HIDRO),13
-104.9,23.8,DGO,SBBDR,SANTA BARBARA,44.1
-104.67,23.87,DGO,SBYDR,P. SANTIAGO BAYACORA,13.4
-104.05,23.62,DGO,SELDR,PRESA SANTA ELENA,58.1
-105.55,26.42,DGO,SGBDR,SAN GABRIEL,7.6
-106.13,24.44,DGO,SJRDR,SAN JOSE DE REYES,23.5
-105.37,25.95,DGO,SMODR,SANTA MARIA DEL ORO,5.5
-105.42,25.04,DGO,SPPDR,SANTIAGO PAPASQUIARO,11.5
-106,24.5,DGO,TDRDR,EL TULE DEL REAL,40
-103.44,26.11,DGO,THODR,TLAHUALILO,31
-105.73,25.34,DGO,TLHDR,TEPEHUANES,11.6
-106.98,24.93,DGO,TMZDR,TAMAZULA,42.1
-104.5,26.1,DGO,VHGDR,P. VILLA HIDALGO,14
-99.91,16.85,GRO,ACAGR,ACAPULCO,1
-99.75,16.76,GRO,ACUGR,"ACAPULCO, (AUTOMATICA)",0
-99.5,17.5,GRO,AERGR,AEROPUERTO,0
-98.98,17.72,GRO,AHUGR,AHUACUOTZINGO,0
-99.1,16.95,GRO,AYUGR,AYUTLA,0.4
-99.2,18.2,GRO,BVSGR,BUENA VISTA,0
-100.66,18.35,GRO,CA2GR,"CD. ALTAMIRANO, (AUTOMATICA)",0
-100.66,18.36,GRO,CALGR,CIUDAD ALTAMIRANO,0
-100.63,18.33,GRO,CDBGR,COYUCA DE BENITEZ,0
-99.5,17.55,GRO,CHIGR,CHILPANCINGO,0
-99.18,17.61,GRO,CHLGR,CHILAPA,0
-98.41,16.47,GRO,CNLGR,CUAJINICUILAPA,0
-99.66,18.25,GRO,COCGR,COCULA,0
-98.97,16.61,GRO,COPGR,COPALA,0
-101.05,17.38,GRO,CYQGR,COYUQUILLA,0
-99.72,17.32,GRO,ECAGR,EL CARACOL,0
-100.68,18.52,GRO,EGLGR,P. EL GALLO,0
-99.55,18.35,GRO,IGLGR,IGUALA,13
-101,18.45,GRO,LCLGR,LA CALERA,0
-100.02,16.96,GRO,LDCGR,LAGUNA DE COYUCA,0
-99.24,16.76,GRO,LDGGR,LAS VIGAS,0
-99.48,18.35,GRO,LDTGR,LAGUNA DE TUXPAN,13
-99.37,17.47,GRO,MCHGR,MOCHITLAN,3.3
-99.8,16.8,GRO,ODAGR,OBSERVATORIO DE ACAPULCO,0
-99.5,17.6,GRO,ODZGR,OBSERVATORIO DE ZUMPANGO,6.5
-98.74,17.78,GRO,OLNGR,OLINALA,3.9
-98.43,16.68,GRO,OMEGR,OMETEPEC,0.5
-99.2,16.8,GRO,RMEGR,REVOLUCION MEXICANA,0
-100.47,17.14,GRO,SJEGR,SAN JERONIMO,0
-99.48,16.8,GRO,SNMGR,SAN MARCOS                          *,0
-99.61,18.55,GRO,TAXGR,TAXCO,0
-99.53,17.17,GRO,TCOGR,TIERRA COLORADA,0
-100.63,17.26,GRO,TECGR,TECPAN DE GALEANA,0
-99.98,17.79,GRO,TLAGR,TLACOTEPEC,2
-98.6,17.5,GRO,TLPGR,TLAPA,0
-99.4,17.57,GRO,TXTGR,TIXTLA,0
-100.27,18.39,GRO,VGRGR,P. VICENTE GUERRERO,0
-99.5,18.42,GRO,VTRGR,PRESA VALERIO TRUJANO,11.8
-98.49,17.9,GRO,XXHGR,XOCHIHUEHUETLAN,3.3
-101.55,17.65,GRO,ZHTGR,ZIHUATANEJO,0
-101.52,20.43,GTO,ABSGJ,ABASOLO,37
-100.72,20.03,GTO,ACNGJ,ACAMBARO,31
-100.68,20.53,GTO,AEGGJ,APASEO EL GRANDE,40.8
-100.58,20.55,GTO,AMCGJ,AMECHE,33.5
-101.37,20.71,GTO,ANSGJ,ARANDAS,20.2
-100.62,20.45,GTO,APSGJ,APASEO EL ALTO,29
-101.63,20.5,GTO,ATBGJ,AGUA TIBIA,39
-100.83,20.85,GTO,BEGGJ,LA BEGO—A (HIDROM. IGNACIO ALLENDE),42.3
-101.83,21.05,GTO,BRRGJ,PRESA EL BARRIAL,73.1
-100.9,20.28,GTO,CBOGJ,"EL CUBO, (AUTOMATICA)",24.4
-100.82,20.53,GTO,CLYGJ,CELAYA,29.8
-101.47,21.07,GTO,COMGJ,COMANJILLA,39
-100.36,20.2,GTO,CORGJ,CORONEO,30.2
-101.67,20.62,GTO,CRMGJ,CUERAMARO,39.6
-100.95,20.48,GTO,CRTGJ,CORTAZAR,27.6
-100.9,20.95,GTO,CSRGJ,CINCO SEÒORES,41.7
-101.67,21.19,GTO,CSSGJ,LOS CASTILLOS(CANALES),34.3
-101.67,21.2,GTO,CSTGJ,LOS CASTILLOS,32.4
-100.93,21.15,GTO,DHGGJ,DOLORES HIDALGO,37.5
-100.5,20.2,GTO,ECBGJ,EL CUBO,23
-101.2,20.9,GTO,ECHGJ,EL CHAPIN,22.5
-101.37,20.73,GTO,ECNGJ,PRESA EL CONEJO,30.8
-101.67,21.17,GTO,EPLGJ,EL PALOTE,73.1
-101.75,20.43,GTO,GLNGJ,PRESA LA GOLONDRINA,40
-101.27,21.01,GTO,GTOGJ,GUANAJUATO,29.1
-100.82,20.83,GTO,IALGJ,IGNACIO ALLENDE,48
-101.35,20.68,GTO,IRPGJ,IRAPUATO,31.5
-100.52,20.13,GTO,JCRGJ,JERECUARO,18
-101,20.4,GTO,JDPGJ,JARAL DEL PROGRESO,25.7
-101.83,20.67,GTO,LADGJ,LAS ADJUNTAS,38.5
-101.13,20.22,GTO,LDYGJ,SANTA MARIA YURIRIA,27.5
-101.67,21.1,GTO,LENGJ,LEON,72.1
-100.87,20.38,GTO,LGVGJ,P. LA GAVIA,31
-101.36,20.28,GTO,LJIGJ,LAS JICAMAS,26
-101.11,21.32,GTO,LQMGJ,LA QUEMADA,57.3
-101.95,20.5,GTO,MABGJ,MARIANO ABASOLO,31.8
-100.58,20.56,GTO,MCHGJ,"AMECHE, (AUTOMATICA)",30
-101.19,20.13,GTO,MORGJ,MOROLEON,35
-101.52,21.63,GTO,OCMGJ,OCAMPO,62
-100.83,20.85,GTO,PALGJ,"PRESA ALLENDE, GTO.  SMN",0
-101.06,20.52,GTO,PCSGJ,"PERICOS, (AUTOMATICA)",30
-100.9,21.1,GTO,PDLGJ,PUENTE DOLORES                      *,34
-101.13,20.52,GTO,PERGJ,PERICOS,32.8
-100.88,21.1,GTO,PNLGJ,PEÒUELITAS,37.6
-100.5,21.22,GTO,POZGJ,POZOS,40.1
-101.28,20.85,GTO,PRSGJ,PRESA LA PURISIMA,22
-101.22,21.48,GTO,SFEGJ,SAN FELIPE,77.8
-101.02,20.4,GTO,SJLGJ,SANTA JULIA,29.1
-101.2,20.57,GTO,SLMGJ,SALAMANCA,31.5
-100.75,20.58,GTO,SMOGJ,SAN MIGUEL OCTOPAN,38.5
-100.52,21.3,GTO,SLPGJ,SAN LUIS DE LA PAZ,39
-100.82,20.05,GTO,SLSGJ,P. SOLIS,26.5
-100.88,20.22,GTO,SLVGJ,SALVATIERRA,19.2
-101.07,20.3,GTO,SRTGJ,SANTA RITA,31.6
-100.75,20.28,GTO,TARGJ,TARIMORO,31.5
-101.3,20.6,GTO,TEMGJ,TEMASCATIO,30.2
-100.8,20.5,GTO,TGRGJ,TRES GUERRAS,39
-101.37,20.74,GTO,TPCGJ,TEPALCATES,23
-101.18,20.39,GTO,VDSGJ,V. DE SANTIAGO,32
-100.09,21.3,GTO,XICGJ,XICHU,39.9
-101.02,20.27,GTO,YRDGJ,"YURIRIA CANAL ALIMENTADOR, AUTOM.",30.8
