LON,LAT,ESTADO,CVE_SIH,NOMBRE_ESTACION,JUL
-100.73,27.5,COAH,VCRCL,PRESA VENUSTIANO CARRANZA,36
-101.9,29,COAH,ZPTCL,ZAPATA,31
-103.61,19.25,COL,BVSCM,BUENA VISTA,178
-103.72,18.75,COL,CDOCM,CERRO DE ORTEGA,101.5
-103.71,19.3,COL,CHNCM,EL CHANAL,200.3
-103.63,18.81,COL,CLLCM,CALLEJONES,335.8
-103.76,19.32,COL,CMLCM,COMALA,109.8
-103.8,19.21,COL,CQMCM,COQUIMATLAN,66.9
-103.6,19.33,COL,CUACM,CUAHTEMOC,142
-103.88,19.11,COL,DJLCM,DERIVADORA JALA,88
-103.87,19.17,COL,LAECM,LA ESPERANZA,75.5
-103.87,18.9,COL,LDACM,LAGUNA DE AMELA,95.1
-103.73,19.22,COL,LPSCM,LA POSTA,178.8
-104.32,19.04,COL,MNZCM,MANZANILLO,200.2
-103.82,19.27,COL,PNTCM,PEÒITAS,92.7
-103.73,19.22,COL,RDRCM,RADAR,199
-103.7,19.41,COL,SCHCM,SUCHITLAN,250.9
-103.88,18.93,COL,TCMCM,TECOMAN,47.5
-103.52,19.25,COL,TRJCM,TROJES,145.3
-103.66,19.28,COL,TRPCM,TRAPICHE,225.5
-99.21,19.22,DF,AJSDF,AJUSCO,155.5
-99.17,19.45,DF,CBIDF,"ESCUELA NACIONAL DE CIENCIAS BIOLOGICAS, IPN (AUTOMATICA)",125.9
-99.18,19.35,DF,CCUDF,CENTRO UNIVERSITARIO,137.1
-99,19.36,DF,CDMDF,CARCEL DE MUJERES,66.6
-99.11,19.41,DF,CDVDF,CIUDAD DEPORTIVA,163.8
-99.18,19.5,DF,CEADF,CAMPAMENTO AMEALCO,192.7
-99.21,19.16,DF,CFSDF,CASETA FORESTAL,258.5
-99.14,19.47,DF,CMTDF,CIEN METROS,127.8
-99.18,19.49,DF,CMYDF,CAMPO MECOAYA,121.8
-99.09,19.19,DF,CTNDF,CUAUTENCO,158.3
-99.09,19.48,DF,CYLDF,COYOL,171.4
-99.21,19.3,DF,DATDF,DESVIACION ALTA                     *,91
-99.13,19.43,DF,DDFDF,GOBIERNO DEL D. F.,110.2
-99.31,19.31,DF,DTLDF,DESIERTO DE LOS LEONES,108.2
-99.15,19.38,DF,DVLDF,DEL VALLE,91
-99.16,19.3,DF,EAZDF,ESTADIO AZTECA,175.2
-99.29,19.36,DF,EYQDF,EL YAQUI,114.5
-99.35,19.3,DF,EZCDF,EL ZARCO,172.7
-99.07,19.49,DF,GCNDF,KM. 6+250 (GRAN CANAL),156.5
-99.26,19.31,DF,HYTDF,HUAYATLA,97.4
-99.3,19.34,DF,LVNDF,LA VENTA,165.8
-99.28,19.22,DF,MAGDF,MONTE ALEGRE,222
-99.13,19.4,DF,MCRDF,M. CARRILLO,113.6
-99.03,19.19,DF,MLPDF,MILPA ALTA,128
-99.23,19.19,DF,MZTDF,P ABASOLO(MEZONTEPEC),164.2
-99.1,19.32,DF,OCSDF,OFICINA CAVM SUR,93.1
-99.1,19.38,DF,PBADF,P. B. ACULCO,119.5
-99.06,19.43,DF,PBCDF,P. B. CHURUBUSCO L(CH.LAGO),77.1
-99.12,19.49,DF,PBLDF,P. B. LINDAVISTA,140.7
-99.04,19.38,DF,PBODF,P. B. U. E. DE ORIENTE,70.7
-99.17,19.44,DF,PBTDF,P. B. TIZOC,132.9
-99.2,19.41,DF,PCHDF,PTA. CHAPULTEPEC,124.7
-99.1,19.46,DF,PGNDF,PLANTA GENERADORA 101,125.4
-99.08,19.34,DF,PLEDF,P. T. LA ESTRELLA,90.8
-99.07,19.42,DF,PLMDF,P. B. LOPEZ MATEOS,96.8
-99.13,19.37,DF,PMLDF,P. B. MUNICIPIO LIBRE,113.8
-99.09,19.25,DF,PNTDF,PLANTA NATIVITAS,96.8
-99.26,19.29,DF,PRMDF,P. T. RIO MAGDALENA,194.1
-99.15,19.51,DF,PRRDF,P. T. RIO REMEDIOS,179.5
-99.02,19.3,DF,PSCDF,P. T. SANTA CATARINA,81.4
-99.05,19.23,DF,PSLDF,PLANTA SAN LUIS,65.7
-99.16,19.47,DF,PSNDF,P. B. NUEVA SANTA MARIA,137.6
-99.17,19.26,DF,PSPDF,"P. SAN PEDRO MARTIR, DF",147.6
-99.19,19.51,DF,PTRDF,P. T. ROSARIO,209.8
-99.13,19.29,DF,PVCDF,P. B. VILLA COAPA,147.7
-99.14,19.33,DF,PXTDF,PLANTA XOTEPINGO,115
-99.19,19.3,DF,RBTDF,REBOMBEO BOSQUE TLALPAN(B TLALPAN),155.8
-99.17,19.4,DF,RCMDF,RADIO COMUNICACION,106.5
-99,19.17,DF,SANDF,SANTA ANA,59.1
-99.28,19.33,DF,SBADF,SAN BARTOLO AMEYALCO,186.4
-99.03,19.34,DF,SCMDF,SANTA CRUZ MEYEHUALCO,47
-99.12,19.58,DF,SGDDF,SIERRA GUADALUPE,43.7
-99.07,19.47,DF,SJADF,SAN JUAN DE ARAGON,114.9
-99.01,19.28,DF,SPPDF,SAN PEDRO TLAHUAC,44.6
-98.96,19.32,DF,SSCDF,S. ELEC. SANTA CATARINA(LA CALERA),68.9
-99.14,19.56,DF,TCMDF,TANQUE CHALMITA,177.7
-99.27,19.37,DF,TECDF,TANQUE EL CARTERO,192.2
-99.25,19.33,DF,TELDF,TANQUE EL LIENZO,141.9
-99.21,19.4,DF,TNGDF,TRIANGULO,91.5
-99.14,19.2,DF,TPJDF,TOPILEJO,164.7
-99.08,19.44,DF,TPNDF,TANQUE PEÒON,85.3
-99.21,19.36,DF,TRGDF,TARANGO,120.4
-99.25,19.32,DF,TSFDF,T. SAN FRANCISCO,164.8
-99.23,19.44,DF,TSJDF,T. SAN JOAQUIN,153
-99.26,19.36,DF,TSLDF,TRIF. SANTA LUCIA (SANTA FE),241.3
-98.97,19.21,DF,TTLDF,TETELCO,18.3
-99.21,19.51,DF,VDCDF,VASO DE CRISTO (SACM),119.5
-104.07,25.26,DGO,AM2DR,"AGUSTIN MELGAR, (AUTOMATICA)",1.8
-104.48,26.24,DGO,APRDR,AGUA PUERCA,107.3
-104.7,24,DGO,CAGDR,CAMPO AGRICOLA,197.3
-104.8,24.52,DGO,CB2DR,CABORACA (HIDRO),123.9
-104.8,24.52,DGO,CBRDR,P. CABORACA,124.3
-104.07,26.3,DGO,CEBDR,CEVALLOS,67.9
-104.12,24.44,DGO,CGVDR,CIUDAD GUADALUPE VICTORIA,135.6
-103.52,25.53,DGO,CLRDR,CIUDAD LERDO,61.4
-103.7,24.87,DGO,CNCDR,CUENCAME,175.9
-104.75,24.5,DGO,CNTDR,CANATLAN,103.9
-104.67,24.03,DGO,DRGDR,DURANGO,171.9
-103.96,24,DGO,FV2DR,FRANCISCO VILLA (HIDRO),180.5
-103.96,24,DGO,FVLDR,PRESA FRANCISCO VILLA,180.8
-103.78,25.27,DGO,FZRDR,PRESA FRANCISCO ZARCO,211
-105.25,25.5,DGO,GESDR,GENERAL ESCOBEDO,183
-105.96,25.93,DGO,GNCDR,GUANACEVI,59.5
-104.75,23.96,DGO,GVCDR,PRESA GUADALUPE VICTORIA,221.5
-104.75,23.96,DGO,GVHDR,GUADALUPE VICTORIA,221
-105,25.61,DGO,LCRDR,PRESA LAZARO CARDENAS,77.5
-103.28,25.06,DGO,LFLDR,LA FLOR,70.6
-103.31,24.63,DGO,LNRDR,PRESA LOS NARANJOS,45
-105.47,24.19,DGO,LVEDR,"LAS VEGAS, (AUTOMATICA)",281.4
-103.85,25.82,DGO,MPMDR,MAPIMI,101.3
-104.11,25.23,DGO,NZSDR,NAZAS,48.1
-104.66,24.24,DGO,PA2DR,PE—A DEL AGUILA (HIDRO),208.6
-104.66,24.24,DGO,PAGDR,PRESA PEÒA DEL AGUILA,208.7
-106.37,26.13,DGO,ROSDR,LA ROSILLA,196
-105.44,25.23,DGO,SACDR,SALOME ACOSTA,116.3
-104.67,23.87,DGO,SB2DR,SANTIAGO BAYACORA (HIDRO),216
-104.9,23.8,DGO,SBBDR,SANTA BARBARA,153.2
-104.67,23.87,DGO,SBYDR,P. SANTIAGO BAYACORA,216.1
-104.05,23.62,DGO,SELDR,PRESA SANTA ELENA,283.5
-105.55,26.42,DGO,SGBDR,SAN GABRIEL,141.5
-106.13,24.44,DGO,SJRDR,SAN JOSE DE REYES,123
-105.37,25.95,DGO,SMODR,SANTA MARIA DEL ORO,218.4
-105.42,25.04,DGO,SPPDR,SANTIAGO PAPASQUIARO,93.5
-105.57,26.08,DGO,SRDDR,SARDINAS,126.2
-106,24.5,DGO,TDRDR,EL TULE DEL REAL,276.1
-103.44,26.11,DGO,THODR,TLAHUALILO,62.2
-105.73,25.34,DGO,TLHDR,TEPEHUANES,99.3
-106.98,24.93,DGO,TMZDR,TAMAZULA,269.3
-104.5,26.1,DGO,VHGDR,P. VILLA HIDALGO,210.5
-105.5,26.44,DGO,VOCDR,VILLA OCAMPO,185.5
-99.91,16.85,GRO,ACAGR,ACAPULCO,207.4
-99.75,16.76,GRO,ACUGR,"ACAPULCO, (AUTOMATICA)",213.6
-99.5,17.5,GRO,AERGR,AEROPUERTO,187
-98.98,17.72,GRO,AHUGR,AHUACUOTZINGO,107.1
-99.88,16.75,GRO,AOMGR,AEROPUERTO (OBSER. METEOROLOGICO),169.8
-100.43,17.21,GRO,ATYGR,ATOYAC,227.5
-99.1,16.95,GRO,AYUGR,AYUTLA,220.8
-99.2,18.2,GRO,BVSGR,BUENA VISTA,250
-100.66,18.35,GRO,CA2GR,"CD. ALTAMIRANO, (AUTOMATICA)",0
-100.66,18.36,GRO,CALGR,CIUDAD ALTAMIRANO,158.7
-99.86,16.86,GRO,CAZGR,COSTA AZUL,56
-99.94,16.73,GRO,CBTGR,CBTIS 14,141.4
-100.63,18.33,GRO,CDBGR,COYUCA DE BENITEZ,20.2
-99.5,17.55,GRO,CHIGR,CHILPANCINGO,212.6
-99.18,17.61,GRO,CHLGR,CHILAPA,37
-98.41,16.47,GRO,CNLGR,CUAJINICUILAPA,196.2
-99.66,18.25,GRO,COCGR,COCULA,187.7
-98.97,16.61,GRO,COPGR,COPALA,259.7
-99.91,16.88,GRO,CPRGR,COL. PROGRESO (CALLE DURANGO),141.8
-99.85,16.9,GRO,CSMGR,COL. SIMON BOLIVAR,190.1
-99.83,16.86,GRO,CUHGR,COLOSO (UNIDAD HAB. EL COLOSO),150.6
-101.05,17.38,GRO,CYQGR,COYUQUILLA,74
-99.72,17.32,GRO,ECAGR,EL CARACOL,106.3
-100.68,18.52,GRO,EGLGR,P. EL GALLO,175.7
-99.88,16.87,GRO,GTAGR,LA GARITA (TUNEL ALTO),201.1
-99.55,18.35,GRO,IGLGR,IGUALA,198.2
-99.93,16.87,GRO,JNAGR,JUAN N. ALVAREZ,32.3
-101,18.45,GRO,LCLGR,LA CALERA,86
-100.02,16.96,GRO,LDCGR,LAGUNA DE COYUCA,35.3
-99.24,16.76,GRO,LDGGR,LAS VIGAS,107
-99.92,16.86,GRO,LMRGR,LA MIRA,156.9
-99.89,16.9,GRO,MAGGR,MAGALLANES (4 ETAPA FOVISSSTE),117.4
-99.37,17.47,GRO,MCHGR,MOCHITLAN,171.3
-99.8,16.8,GRO,ODAGR,OBSERVATORIO DE ACAPULCO,290.8
-99.5,17.6,GRO,ODZGR,OBSERVATORIO DE ZUMPANGO,172
-98.74,17.78,GRO,OLNGR,OLINALA,198
-98.43,16.68,GRO,OMEGR,OMETEPEC,195.8
-99.92,16.89,GRO,PSCGR,PALMA SOLA-CAMARON,26.2
-98.51,16.66,GRO,QTZGR,QUETZALA,130.1
-99.2,16.8,GRO,RMEGR,REVOLUCION MEXICANA,49.3
-100.47,17.14,GRO,SJEGR,SAN JERONIMO,190
-99.48,16.8,GRO,SNMGR,SAN MARCOS                          *,80.7
-99.61,18.55,GRO,TAXGR,TAXCO,177.3
-99.53,17.17,GRO,TCOGR,TIERRA COLORADA,117
-100.63,17.26,GRO,TECGR,TECPAN DE GALEANA,20
-99.98,17.79,GRO,TLAGR,TLACOTEPEC,184.5
-98.6,17.5,GRO,TLPGR,TLAPA,133
-99.4,17.57,GRO,TXTGR,TIXTLA,59.3
-100.27,18.39,GRO,VGRGR,P. VICENTE GUERRERO,266.8
-99.5,18.42,GRO,VTRGR,PRESA VALERIO TRUJANO,131.1
-98.49,17.9,GRO,XXHGR,XOCHIHUEHUETLAN,112
-101.55,17.65,GRO,ZHTGR,ZIHUATANEJO,43.4
-101.52,20.43,GTO,ABSGJ,ABASOLO,249.3
-100.72,20.03,GTO,ACNGJ,ACAMBARO,250
-100.68,20.53,GTO,AEGGJ,APASEO EL GRANDE,244.2
-100.58,20.55,GTO,AMCGJ,AMECHE,191.5
-101.37,20.71,GTO,ANSGJ,ARANDAS,293.6
-100.62,20.45,GTO,APSGJ,APASEO EL ALTO,226
-101.63,20.5,GTO,ATBGJ,AGUA TIBIA,290
-100.83,20.85,GTO,BEGGJ,LA BEGO—A (HIDROM. IGNACIO ALLENDE),178.6
-101.83,21.05,GTO,BRRGJ,PRESA EL BARRIAL,253
-100.9,20.28,GTO,CBOGJ,"EL CUBO, (AUTOMATICA)",288.2
-100.82,20.53,GTO,CLYGJ,CELAYA,244.2
-101.47,21.07,GTO,COMGJ,COMANJILLA,202
-100.36,20.2,GTO,CORGJ,CORONEO,247.3
-101.67,20.62,GTO,CRMGJ,CUERAMARO,274.2
-100.95,20.48,GTO,CRTGJ,CORTAZAR,262.2
-100.9,20.95,GTO,CSRGJ,CINCO SEÒORES,192.3
-101.67,21.19,GTO,CSSGJ,LOS CASTILLOS(CANALES),257.6
-101.67,21.2,GTO,CSTGJ,LOS CASTILLOS,232.6
-100.93,21.15,GTO,DHGGJ,DOLORES HIDALGO,133.5
-100.5,20.2,GTO,ECBGJ,EL CUBO,311
-101.2,20.9,GTO,ECHGJ,EL CHAPIN,208
-101.37,20.73,GTO,ECNGJ,PRESA EL CONEJO,282.9
-101.67,21.17,GTO,EPLGJ,EL PALOTE,246.2
-101.75,20.43,GTO,GLNGJ,PRESA LA GOLONDRINA,218
-101.27,21.01,GTO,GTOGJ,GUANAJUATO,318.4
-100.82,20.83,GTO,IALGJ,IGNACIO ALLENDE,192.6
-101.35,20.68,GTO,IRPGJ,IRAPUATO,373
-100.52,20.13,GTO,JCRGJ,JERECUARO,223.9
-101,20.4,GTO,JDPGJ,JARAL DEL PROGRESO,221.2
-101.83,20.67,GTO,LADGJ,LAS ADJUNTAS,195.5
-101.13,20.22,GTO,LDYGJ,SANTA MARIA YURIRIA,183.5
-101.67,21.1,GTO,LENGJ,LEON,237.9
-100.87,20.38,GTO,LGVGJ,P. LA GAVIA,268.5
-101.36,20.28,GTO,LJIGJ,LAS JICAMAS,295
-101.11,21.32,GTO,LQMGJ,LA QUEMADA,239.2
-101.95,20.5,GTO,MABGJ,MARIANO ABASOLO,207
-100.58,20.56,GTO,MCHGJ,"AMECHE, (AUTOMATICA)",51.4
-101.19,20.13,GTO,MORGJ,MOROLEON,293.6
-101.52,21.63,GTO,OCMGJ,OCAMPO,166.4
-100.83,20.85,GTO,PALGJ,"PRESA ALLENDE, GTO.  SMN",8.6
-101.06,20.52,GTO,PCSGJ,"PERICOS, (AUTOMATICA)",1.5
-100.9,21.1,GTO,PDLGJ,PUENTE DOLORES                      *,121.7
-101.13,20.52,GTO,PERGJ,PERICOS,215.4
-100.88,21.1,GTO,PNLGJ,PEÒUELITAS,162.3
-100.5,21.22,GTO,POZGJ,POZOS,106.9
