  LON,   LAT,   ESTADO,     CVE_SIH,NOMBRE_ESTACION, ABR
-104.75,24.5,DGO,CNTDR,CANATLAN,0
-104.67,24.03,DGO,DRGDR,DURANGO,0
-103.96,24,DGO,FV2DR,FRANCISCO VILLA (HIDRO),0
-103.96,24,DGO,FVLDR,PRESA FRANCISCO VILLA,0
-103.78,25.27,DGO,FZRDR,PRESA FRANCISCO ZARCO,0
-105.25,25.5,DGO,GESDR,GENERAL ESCOBEDO,0
-105.96,25.93,DGO,GNCDR,GUANACEVI,0
-104.75,23.96,DGO,GVCDR,PRESA GUADALUPE VICTORIA,0
-104.75,23.96,DGO,GVHDR,GUADALUPE VICTORIA,0
-105,25.61,DGO,LCRDR,PRESA LAZARO CARDENAS,0
-103.28,25.06,DGO,LFLDR,LA FLOR,0
-103.31,24.63,DGO,LNRDR,PRESA LOS NARANJOS,0
-105.47,24.19,DGO,LVEDR,"LAS VEGAS, (AUTOMATICA)",0
-103.85,25.82,DGO,MPMDR,MAPIMI,0
-104.11,25.23,DGO,NZSDR,NAZAS,0
-104.66,24.24,DGO,PA2DR,PE—A DEL AGUILA (HIDRO),0
-104.66,24.24,DGO,PAGDR,PRESA PEÒA DEL AGUILA,0
-106.37,26.13,DGO,ROSDR,LA ROSILLA,0
-105.44,25.23,DGO,SACDR,SALOME ACOSTA,0
-104.67,23.87,DGO,SB2DR,SANTIAGO BAYACORA (HIDRO),0
-104.9,23.8,DGO,SBBDR,SANTA BARBARA,0
-104.67,23.87,DGO,SBYDR,P. SANTIAGO BAYACORA,0
-104.05,23.62,DGO,SELDR,PRESA SANTA ELENA,0
-105.55,26.42,DGO,SGBDR,SAN GABRIEL,0
-106.13,24.44,DGO,SJRDR,SAN JOSE DE REYES,0
-105.37,25.95,DGO,SMODR,SANTA MARIA DEL ORO,0
-105.42,25.04,DGO,SPPDR,SANTIAGO PAPASQUIARO,0
-105.57,26.08,DGO,SRDDR,SARDINAS,0
-106,24.5,DGO,TDRDR,EL TULE DEL REAL,0
-103.44,26.11,DGO,THODR,TLAHUALILO,0
-105.73,25.34,DGO,TLHDR,TEPEHUANES,0
-106.98,24.93,DGO,TMZDR,TAMAZULA,0
-104.5,26.1,DGO,VHGDR,P. VILLA HIDALGO,0
-105.5,26.44,DGO,VOCDR,VILLA OCAMPO,0
-99.91,16.85,GRO,ACAGR,ACAPULCO,0
-99.75,16.76,GRO,ACUGR,"ACAPULCO, (AUTOMATICA)",0
-99.5,17.5,GRO,AERGR,AEROPUERTO,11
-98.98,17.72,GRO,AHUGR,AHUACUOTZINGO,12.6
-99.1,16.95,GRO,AYUGR,AYUTLA,0
-99.2,18.2,GRO,BVSGR,BUENA VISTA,8
-100.66,18.35,GRO,CA2GR,"CD. ALTAMIRANO, (AUTOMATICA)",0
-100.66,18.36,GRO,CALGR,CIUDAD ALTAMIRANO,0
-99.5,17.55,GRO,CHIGR,CHILPANCINGO,23.8
-99.18,17.61,GRO,CHLGR,CHILAPA,10.5
