LON,LAT,ESTADO,CVE_SIH,NOMBRE_ESTACION,AGO
-100.47,17.14,GRO,SJEGR,SAN JERONIMO,228.5
-99.48,16.8,GRO,SNMGR,SAN MARCOS                          *,83.7
-99.61,18.55,GRO,TAXGR,TAXCO,277.6
-99.53,17.17,GRO,TCOGR,TIERRA COLORADA,190.5
-100.63,17.26,GRO,TECGR,TECPAN DE GALEANA,126.3
-99.98,17.79,GRO,TLAGR,TLACOTEPEC,300.5
-98.6,17.5,GRO,TLPGR,TLAPA,138
-99.4,17.57,GRO,TXTGR,TIXTLA,32.1
-100.27,18.39,GRO,VGRGR,P. VICENTE GUERRERO,128.4
-99.5,18.42,GRO,VTRGR,PRESA VALERIO TRUJANO,122.3
-98.49,17.9,GRO,XXHGR,XOCHIHUEHUETLAN,268.2
-101.55,17.65,GRO,ZHTGR,ZIHUATANEJO,60
-101.52,20.43,GTO,ABSGJ,ABASOLO,81.4
-100.72,20.03,GTO,ACNGJ,ACAMBARO,157
-100.68,20.53,GTO,AEGGJ,APASEO EL GRANDE,113.5
-100.58,20.55,GTO,AMCGJ,AMECHE,64
-101.37,20.71,GTO,ANSGJ,ARANDAS,126.5
-100.62,20.45,GTO,APSGJ,APASEO EL ALTO,110
-101.63,20.5,GTO,ATBGJ,AGUA TIBIA,120.5
-100.83,20.85,GTO,BEGGJ,LA BEGO—A (HIDROM. IGNACIO ALLENDE),55
-101.83,21.05,GTO,BRRGJ,PRESA EL BARRIAL,73.3
-100.9,20.28,GTO,CBOGJ,"EL CUBO, (AUTOMATICA)",158
-100.82,20.53,GTO,CLYGJ,CELAYA,73.6
-101.47,21.07,GTO,COMGJ,COMANJILLA,121
-100.36,20.2,GTO,CORGJ,CORONEO,137.1
-101.67,20.62,GTO,CRMGJ,CUERAMARO,149
-100.95,20.48,GTO,CRTGJ,CORTAZAR,111.9
-100.9,20.95,GTO,CSRGJ,CINCO SEÒORES,59.3
-101.67,21.19,GTO,CSSGJ,LOS CASTILLOS(CANALES),79.6
-101.67,21.2,GTO,CSTGJ,LOS CASTILLOS,79.6
-100.93,21.15,GTO,DHGGJ,DOLORES HIDALGO,80
-100.5,20.2,GTO,ECBGJ,EL CUBO,149.6
-101.2,20.9,GTO,ECHGJ,EL CHAPIN,78
-101.37,20.73,GTO,ECNGJ,PRESA EL CONEJO,116.4
-101.67,21.17,GTO,EPLGJ,EL PALOTE,68.4
-101.75,20.43,GTO,GLNGJ,PRESA LA GOLONDRINA,226
-101.27,21.01,GTO,GTOGJ,GUANAJUATO,81.4
-100.82,20.83,GTO,IALGJ,IGNACIO ALLENDE,54
-101.35,20.68,GTO,IRPGJ,IRAPUATO,124
-100.52,20.13,GTO,JCRGJ,JERECUARO,145.8
-101,20.4,GTO,JDPGJ,JARAL DEL PROGRESO,154.5
-101.83,20.67,GTO,LADGJ,LAS ADJUNTAS,112
-101.13,20.22,GTO,LDYGJ,SANTA MARIA YURIRIA,93
-101.67,21.1,GTO,LENGJ,LEON,72.5
-100.87,20.38,GTO,LGVGJ,P. LA GAVIA,97.5
-101.36,20.28,GTO,LJIGJ,LAS JICAMAS,89
-101.11,21.32,GTO,LQMGJ,LA QUEMADA,69.8
-101.95,20.5,GTO,MABGJ,MARIANO ABASOLO,144.6
-100.58,20.56,GTO,MCHGJ,"AMECHE, (AUTOMATICA)",40.4
-101.19,20.13,GTO,MORGJ,MOROLEON,87.9
-101.52,21.63,GTO,OCMGJ,OCAMPO,67
-100.83,20.85,GTO,PALGJ,"PRESA ALLENDE, GTO.  SMN",2.5
-101.06,20.52,GTO,PCSGJ,"PERICOS, (AUTOMATICA)",82.8
-100.9,21.1,GTO,PDLGJ,PUENTE DOLORES                      *,69.5
-101.13,20.52,GTO,PERGJ,PERICOS,159.4
-100.88,21.1,GTO,PNLGJ,PEÒUELITAS,41.5
-100.5,21.22,GTO,POZGJ,POZOS,41.6
-101.28,20.85,GTO,PRSGJ,PRESA LA PURISIMA,109.2
-101.22,21.48,GTO,SFEGJ,SAN FELIPE,67.5
-101.02,20.4,GTO,SJLGJ,SANTA JULIA,124.8
-100.39,21,GTO,SJPGJ,SAN J. PAN DE ARRIBA,23.7
-101.2,20.57,GTO,SLMGJ,SALAMANCA,178.7
-100.75,20.58,GTO,SMOGJ,SAN MIGUEL OCTOPAN,94.4
-100.52,21.3,GTO,SLPGJ,SAN LUIS DE LA PAZ,39
-100.82,20.05,GTO,SLSGJ,P. SOLIS,156.8
-100.88,20.22,GTO,SLVGJ,SALVATIERRA,136.5
-101.07,20.3,GTO,SRTGJ,SANTA RITA,94.6
-100.75,20.28,GTO,TARGJ,TARIMORO,148
-101.3,20.6,GTO,TEMGJ,TEMASCATIO,115
-100.8,20.5,GTO,TGRGJ,TRES GUERRAS,95.7
-101.37,20.74,GTO,TPCGJ,TEPALCATES,45.2
-101.18,20.39,GTO,VDSGJ,V. DE SANTIAGO,163.5
-100.09,21.3,GTO,XICGJ,XICHU,74.4
