LON,LAT,ESTADO,CVE_SIH,NOMBRE_ESTACION,OCT
-99.11,19.41,DF,CDVDF,CIUDAD DEPORTIVA,56.8
-99.18,19.5,DF,CEADF,CAMPAMENTO AMEALCO,77.9
-99.21,19.16,DF,CFSDF,CASETA FORESTAL,0
-99.14,19.47,DF,CMTDF,CIEN METROS,19.5
-99.18,19.49,DF,CMYDF,CAMPO MECOAYA,93.8
-99.09,19.19,DF,CTNDF,CUAUTENCO,89.3
-99.09,19.48,DF,CYLDF,COYOL,38.2
-99.21,19.3,DF,DATDF,DESVIACION ALTA                     *,70.5
-99.13,19.43,DF,DDFDF,GOBIERNO DEL D. F.,82.5
-99.31,19.31,DF,DTLDF,DESIERTO DE LOS LEONES,116.7
-99.15,19.38,DF,DVLDF,DEL VALLE,82.3
-99.16,19.3,DF,EAZDF,ESTADIO AZTECA,89.4
-99.29,19.36,DF,EYQDF,EL YAQUI,5.9
-99.35,19.3,DF,EZCDF,EL ZARCO,97.1
-99.07,19.49,DF,GCNDF,KM. 6+250 (GRAN CANAL),66.2
-99.26,19.31,DF,HYTDF,HUAYATLA,80
-99.3,19.34,DF,LVNDF,LA VENTA,132.9
-99.28,19.22,DF,MAGDF,MONTE ALEGRE,111.9
-99.13,19.4,DF,MCRDF,M. CARRILLO,95.6
-99.03,19.19,DF,MLPDF,MILPA ALTA,44.3
-99.23,19.19,DF,MZTDF,P ABASOLO(MEZONTEPEC),115.6
-99.1,19.32,DF,OCSDF,OFICINA CAVM SUR,78.2
-99.1,19.38,DF,PBADF,P. B. ACULCO,54.2
-99.06,19.43,DF,PBCDF,P. B. CHURUBUSCO L(CH.LAGO),35.1
-99.12,19.49,DF,PBLDF,P. B. LINDAVISTA,47.7
-99.04,19.38,DF,PBODF,P. B. U. E. DE ORIENTE,81.7
-99.17,19.44,DF,PBTDF,P. B. TIZOC,106.4
-99.2,19.41,DF,PCHDF,PTA. CHAPULTEPEC,73.8
-99.1,19.46,DF,PGNDF,PLANTA GENERADORA 101,61.5
-99.08,19.34,DF,PLEDF,P. T. LA ESTRELLA,69.1
-99.07,19.42,DF,PLMDF,P. B. LOPEZ MATEOS,62
-99.13,19.37,DF,PMLDF,P. B. MUNICIPIO LIBRE,74.3
-99.09,19.25,DF,PNTDF,PLANTA NATIVITAS,80.5
-99.26,19.29,DF,PRMDF,P. T. RIO MAGDALENA,146.7
