LON,LAT,ESTADO,CVE_SIH,NOMBRE_ESTACION,NOV
-105.44,25.23,DGO,SACDR,SALOME ACOSTA,58.6
-104.67,23.87,DGO,SB2DR,SANTIAGO BAYACORA (HIDRO),86.7
-104.9,23.8,DGO,SBBDR,SANTA BARBARA,89.6
-104.67,23.87,DGO,SBYDR,P. SANTIAGO BAYACORA,86.6
-104.05,23.62,DGO,SELDR,PRESA SANTA ELENA,54.3
-105.55,26.42,DGO,SGBDR,SAN GABRIEL,3.1
-106.13,24.44,DGO,SJRDR,SAN JOSE DE REYES,31.5
-105.37,25.95,DGO,SMODR,SANTA MARIA DEL ORO,94.7
-105.42,25.04,DGO,SPPDR,SANTIAGO PAPASQUIARO,51.9
-105.57,26.08,DGO,SRDDR,SARDINAS,67.8
-106,24.5,DGO,TDRDR,EL TULE DEL REAL,117.7
-103.44,26.11,DGO,THODR,TLAHUALILO,31.7
-105.73,25.34,DGO,TLHDR,TEPEHUANES,76.1
-106.98,24.93,DGO,TMZDR,TAMAZULA,121.4
-104.5,26.1,DGO,VHGDR,P. VILLA HIDALGO,97
-105.5,26.44,DGO,VOCDR,VILLA OCAMPO,64
-99.91,16.85,GRO,ACAGR,ACAPULCO,44.2
-99.75,16.76,GRO,ACUGR,"ACAPULCO, (AUTOMATICA)",67.8
-99.5,17.5,GRO,AERGR,AEROPUERTO,43.9
-98.98,17.72,GRO,AHUGR,AHUACUOTZINGO,31.7
-99.1,16.95,GRO,AYUGR,AYUTLA,51.1
-99.2,18.2,GRO,BVSGR,BUENA VISTA,79
-100.66,18.35,GRO,CA2GR,"CD. ALTAMIRANO, (AUTOMATICA)",0
-100.66,18.36,GRO,CALGR,CIUDAD ALTAMIRANO,63
-100.63,18.33,GRO,CDBGR,COYUCA DE BENITEZ,0
-99.5,17.55,GRO,CHIGR,CHILPANCINGO,40
-99.18,17.61,GRO,CHLGR,CHILAPA,1.4
-98.41,16.47,GRO,CNLGR,CUAJINICUILAPA,28.6
-99.66,18.25,GRO,COCGR,COCULA,12.4
-98.97,16.61,GRO,COPGR,COPALA,28.5
-101.05,17.38,GRO,CYQGR,COYUQUILLA,36.1
-99.72,17.32,GRO,ECAGR,EL CARACOL,5.7
-100.68,18.52,GRO,EGLGR,P. EL GALLO,7
-99.55,18.35,GRO,IGLGR,IGUALA,18.4
-101,18.45,GRO,LCLGR,LA CALERA,0
-100.02,16.96,GRO,LDCGR,LAGUNA DE COYUCA,0
-99.24,16.76,GRO,LDGGR,LAS VIGAS,9
-99.48,18.35,GRO,LDTGR,LAGUNA DE TUXPAN,32.4
-99.37,17.47,GRO,MCHGR,MOCHITLAN,30.1
-99.8,16.8,GRO,ODAGR,OBSERVATORIO DE ACAPULCO,70.6
-99.5,17.6,GRO,ODZGR,OBSERVATORIO DE ZUMPANGO,22.5
-98.74,17.78,GRO,OLNGR,OLINALA,71.5
-98.43,16.68,GRO,OMEGR,OMETEPEC,30
-99.2,16.8,GRO,RMEGR,REVOLUCION MEXICANA,0.5
-100.47,17.14,GRO,SJEGR,SAN JERONIMO,44.5
-99.48,16.8,GRO,SNMGR,SAN MARCOS                          *,0
-99.61,18.55,GRO,TAXGR,TAXCO,0
-100.63,17.26,GRO,TECGR,TECPAN DE GALEANA,0
-99.98,17.79,GRO,TLAGR,TLACOTEPEC,51.8
-98.6,17.5,GRO,TLPGR,TLAPA,70.6
-99.4,17.57,GRO,TXTGR,TIXTLA,8
-100.27,18.39,GRO,VGRGR,P. VICENTE GUERRERO,32.5
-99.5,18.42,GRO,VTRGR,PRESA VALERIO TRUJANO,58.7
-98.49,17.9,GRO,XXHGR,XOCHIHUEHUETLAN,69.5
-101.55,17.65,GRO,ZHTGR,ZIHUATANEJO,8
-101.52,20.43,GTO,ABSGJ,ABASOLO,106
-100.72,20.03,GTO,ACNGJ,ACAMBARO,34
-100.68,20.53,GTO,AEGGJ,APASEO EL GRANDE,6.3
-100.58,20.55,GTO,AMCGJ,AMECHE,4.5
-101.37,20.71,GTO,ANSGJ,ARANDAS,12.2
-100.62,20.45,GTO,APSGJ,APASEO EL ALTO,5
-101.63,20.5,GTO,ATBGJ,AGUA TIBIA,32.1
-100.83,20.85,GTO,BEGGJ,LA BEGO—A (HIDROM. IGNACIO ALLENDE),30.9
-101.83,21.05,GTO,BRRGJ,PRESA EL BARRIAL,29.8
-100.9,20.28,GTO,CBOGJ,"EL CUBO, (AUTOMATICA)",10.2
-100.82,20.53,GTO,CLYGJ,CELAYA,6.2
-101.47,21.07,GTO,COMGJ,COMANJILLA,17
-100.36,20.2,GTO,CORGJ,CORONEO,43.2
-101.67,20.62,GTO,CRMGJ,CUERAMARO,24
-100.95,20.48,GTO,CRTGJ,CORTAZAR,10.3
-100.9,20.95,GTO,CSRGJ,CINCO SEÒORES,67.7
-101.67,21.19,GTO,CSSGJ,LOS CASTILLOS(CANALES),28.8
-101.67,21.2,GTO,CSTGJ,LOS CASTILLOS,28.8
-100.93,21.15,GTO,DHGGJ,DOLORES HIDALGO,86
-100.5,20.2,GTO,ECBGJ,EL CUBO,21.5
-101.2,20.9,GTO,ECHGJ,EL CHAPIN,32
-101.37,20.73,GTO,ECNGJ,PRESA EL CONEJO,14.2
-101.67,21.17,GTO,EPLGJ,EL PALOTE,39.2
-101.75,20.43,GTO,GLNGJ,PRESA LA GOLONDRINA,8.5
-101.27,21.01,GTO,GTOGJ,GUANAJUATO,9.6
-100.82,20.83,GTO,IALGJ,IGNACIO ALLENDE,28.9
-101.35,20.68,GTO,IRPGJ,IRAPUATO,14
-100.52,20.13,GTO,JCRGJ,JERECUARO,28.2
-101,20.4,GTO,JDPGJ,JARAL DEL PROGRESO,75.5
-101.83,20.67,GTO,LADGJ,LAS ADJUNTAS,65
-101.13,20.22,GTO,LDYGJ,SANTA MARIA YURIRIA,27.5
-101.67,21.1,GTO,LENGJ,LEON,23.2
-100.87,20.38,GTO,LGVGJ,P. LA GAVIA,12
-101.36,20.28,GTO,LJIGJ,LAS JICAMAS,6
-101,20.3,GTO,LMTGJ,LOMO DE TORO,33.7
-101.11,21.32,GTO,LQMGJ,LA QUEMADA,52.5
-101.95,20.5,GTO,MABGJ,MARIANO ABASOLO,7.3
